,Gas,Coal
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,33.6
1971,0,35.55
1972,0,36.05
1973,0,37.17
1974,0,44.87
1975,0,64.21
1976,0,64.18
1977,6.06,62.7
1978,5.71,54.66
1979,6.23,52.09
1980,8.73,61.54
1981,9.23,82.11
1982,9.55,86.45
1983,8.99,61.92
1984,5.10,51.33
1985,5.23,56.54
1986,4.10,45.34
1987,3.35,41.28
1988,3.34,42.47
1989,3.28,48.86
1990,3.64,50.81
1991,3.99,50.30
1992,3.62,48.45
1993,3.52,45.71
1994,3.18,43.66
1995,3.46,47.58
1996,3.66,49.54
1997,3.91,45.53
1998,3.05,40.51
1999,3.14,35.74
2000,4.72,34.58
2001,4.64,37.96
2002,4.27,36.90
2003,4.77,34.74
2004,5.18,51.34
2006,7.14,63.04
2007,7.73,69.86
2008,12.55,122.81
2009,9.06,110.11
2010,10.91,105.19
2011,14.73,136.21
2012,16.75,133.61
2013,16.17,111.16
2014,16.33,97.65
2015,10.31,79.47
2016,6.94,72.97
