,Gas,Coal
1960,0,39.04
1961,0,39.81
1962,0,37.99
1963,0,40.64
1964,0,41.37
1965,0,38.72
1966,0,35.74
1967,0,34.98
1968,0,36.14
1969,0,38.88
1970,0.59,41.11
1971,0.63,42.87
1972,0.68,42.19
1973,0.73,44
1974,0.89,65.58
1975,1.18,87.11
1976,1.46,86.62
1977,1.76,83.68
1978,1.95,79.07
1979,2.31,85.03
1980,2.86,80.68
1981,3.43,76.83
1982,4.23,81.53
1983,4.72,82.26
1984,4.75,73.11
1985,4.81,67.41
1986,2.91,63.53
1987,3.15,61.08
1988,2.98,59.74
1989,3.01,55.96
1990,3.59,49.45
1991,3.71,44.05
1992,3.43,40.54
1993,3.34,38.16
1994,3.18,40.92
1995,3.41,44.22
1996,3.65,40.12
1997,3.83,37.64
1998,2.91,45.48
1999,3.08,36.69
2000,4.31,41.81
2001,4.39,47.65
2002,4.07,47
2003,4.47,48.05
2004,4.94,37.27
2006,6,37.19
2007,5.97,38.32
2008,7.69,44.61
2009,8.59,50.76
2010,11.72,47.2
2011,12.13,48.63
2012,14.44,56.8
2013,6.44,77.07
2014,15.74,64.92
2015,7.5,58.91
2016,3.76,70.25
