"EntityId","Chart Label","Technology","Technology Subtype","Year","Official Program Number","Fixed O M dollar per kW","","Reference Name","Publication Year","Report Author(s)","Dataset name","Dataset web source"
"EntityId","TechIndex","Technology","TechnologySubtype","Year","IsOfficial","FixedOMDolPerKw","Blank","ShortName","PublicationYear","Author","Title","PublicationUrl"
"Unique identifier for this data record.","Displayed label for the technology and sub-technology.","General type of technology used to generate electricity.","Technology Subtype.","Year.","Official Program Number.","Maintenance costs for generation paid regardless of the total amount generated.","","Reference Name.","Publication Year.","Report Author.","Dataset name.","Dataset web source."
"g39619","Onshore","Land-Based Wind","","2020","DOE","18","","DOE 2013","2013","DOE","DOE Program Estimate",""
"g39618","Onshore","Land-Based Wind","","2010","DOE","18","","DOE 2013","2013","DOE","DOE Program Estimate",""
"g42769","Onshore","Land-Based Wind","","2042","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42774","Onshore","Land-Based Wind","","2047","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42767","Onshore","Land-Based Wind","","2040","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42772","Onshore","Land-Based Wind","","2045","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42777","Onshore","Land-Based Wind","","2050","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42765","Onshore","Land-Based Wind","","2038","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42770","Onshore","Land-Based Wind","","2043","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42775","Onshore","Land-Based Wind","","2048","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42768","Onshore","Land-Based Wind","","2041","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42773","Onshore","Land-Based Wind","","2046","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42766","Onshore","Land-Based Wind","","2039","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42771","Onshore","Land-Based Wind","","2044","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42776","Onshore","Land-Based Wind","","2049","NREL","46","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42759","Onshore","Land-Based Wind","","2032","NREL","47","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42764","Onshore","Land-Based Wind","","2037","NREL","47","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42757","Onshore","Land-Based Wind","","2030","NREL","47","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42762","Onshore","Land-Based Wind","","2035","NREL","47","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42760","Onshore","Land-Based Wind","","2033","NREL","47","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42758","Onshore","Land-Based Wind","","2031","NREL","47","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42763","Onshore","Land-Based Wind","","2036","NREL","47","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42761","Onshore","Land-Based Wind","","2034","NREL","47","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42752","Onshore","Land-Based Wind","","2025","NREL","48","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42755","Onshore","Land-Based Wind","","2028","NREL","48","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42753","Onshore","Land-Based Wind","","2026","NREL","48","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42751","Onshore","Land-Based Wind","","2024","NREL","48","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42756","Onshore","Land-Based Wind","","2029","NREL","48","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42754","Onshore","Land-Based Wind","","2027","NREL","48","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42747","Onshore","Land-Based Wind","","2020","NREL","49","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42750","Onshore","Land-Based Wind","","2023","NREL","49","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42748","Onshore","Land-Based Wind","","2021","NREL","49","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42746","Onshore","Land-Based Wind","","2019","NREL","49","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42749","Onshore","Land-Based Wind","","2022","NREL","49","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42742","Onshore","Land-Based Wind","","2015","NREL","50","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42745","Onshore","Land-Based Wind","","2018","NREL","50","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42743","Onshore","Land-Based Wind","","2016","NREL","50","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42744","Onshore","Land-Based Wind","","2017","NREL","50","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42740","Onshore","Land-Based Wind","","2013","NREL","51","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
"g42741","Onshore","Land-Based Wind","","2014","NREL","51","","NREL_ATB 2015","2015","NREL","NREL Annual Technology Baseline 2015","http://www.nrel.gov/analysis/data_tech_baseline.html"
