"EntityId","Chart Label","Technology","Technology Subtype","Year","Official Program Number","Calculated LCOE","","Overnight Capital Cost dollar per kW including Contingency","Contingency Factor","Overnight Capital Cost dollar per kW","Final Capital Cost, $/kW","Discount Rate","Lifetime Years","Final Lifetime in Years","Capital Recovery Factor","Tax Rate","Present Value of Depreciation","Average Capacity Factor","Max Capacity Factor","Final Capacity Factor","LCOE Capital Cost Term","O M All-Inclusive","Fixed O M dollar per kW","Variable O M dollar per MWh","Calculated OM All Inclusive Cost Term ($/kW)","Calculated Fixed OM Term ($/kW)","Calculated Variable OM Term ($/kW)","LCOE OM Term","Fuel","Fuel Cost","Heat Rate","LCOD Fuel Cost Term","","Reference Name","Publication Year","Report Author(s)","Dataset name","Dataset web source"
"EntityId","TechIndex","Technology","TechnologySubtype","Year","IsOfficial","lcoe","Blank","OnghCptCstDlKwInclCtng","ContingencyFactor","OnghtCptlCostDolPerKw","FinalCptlCostDolPerKw","DiscountRate","LifetimeYears","FinalLifetimeYears","CapitalRecoveryFactor","TaxRate","PvOfDepreciation","AvgCapacityFactor","MaxCapacityFactor","FinalCapacityFactor","TermCapitalCost","OMAllInclusive","FixedOMDolPerKw","VariableOMDolPerMwh","OfficialOMAllInclusive","OfficialFixedOMDolPerKw","OfficialVariableOMDolPerMwh","TermOMCost","Fuel","FuelCost","HeatRate","TermFuelCost","Blank","ShortName","PublicationYear","Author","Title","PublicationUrl"
"Unique identifier for this data record.","Displayed label for the technology and sub-technology.","General type of technology used to generate electricity.","Technology Subtype.","Year.","Official Program Number.","Levelized cost of energy, an estimate of total electricity cost including payback of initial investment and operating costs. Also the price a plant must sell electricity at in order to break even.","","Overnight Capital Cost dollar per kW including Contingency.","Contingency Factor.","Initial cost of a generation technology per kilowatt of capacity, if it could be conducted overnight.","Final Capital Cost, $/kW.","Discount Rate is the assumed effective rate at which future income streams are discounted. Used to compute the capital recovery factor. In Normalized mode, a single discount rate is used. In Market and User modes, the discount rate can be different for each technology.","Lifetime Years.","Lifetime of the Investment. It is the assumed lifetime of a new plant/vehicle and the period over which the investment is computed (unless specified otherwise).","(CRF) A common element in the levelized cost calculations is capital expenditures. The capital expenditure is turned into annual payments with a Capital Recovery Factor (CRF) that is defined using a common calculation.","Tax rate paid (applied after depreciation credits).","The present value of depreciation, depending on the MACRS schedule (Modified Accelerated Cost Recovery System).","The ratio between average power and peak capacity. A plant running at full capacity for exactly half the year would have a 0.5 capacity factor.","Max Capacity Factor.","Final Capacity Factor.","Capital Cost term calculated in the LCOE equation","O M All-Inclusive.","Maintenance costs for generation paid regardless of the total amount generated.","Maintenance costs for generation paid per unit of energy produced.","Term calculated using the OM All Inclusive Cost - when used, this replaces the fixed and variable O&M costs ($/kW).","Term calculated using the Fixed OM ($/kW).","Term calculated using the Variable OM ($/kW).","Calculated term for all costs associated with OM (Operations and Maintenance).","Fuel.","Fuel Cost.","Heat Rate.","","","Reference Name.","Publication Year.","Report Author.","Dataset name.","Dataset web source."
"g39619","Onshore","Land-Based Wind","","2020","DOE",0.044,"","","","1563","1563",0.07,"30",30,0.080586403511111,0.392,0.83155,"0.46","","0.46",0.034652614569864,"","18","5","","18","5",0.0094669446098868,"Wind",0,"3412",0,"","DOE 2013","2013","DOE","DOE Program Estimate",""
"g40746","Onshore","Land-Based Wind","","2040","DOE",0.06,"","","","1864.13646832876","1864.13646832876",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.050029823163294,"","","","","18","5",0.010407354001442,"Wind",0,"",0,"","AEO 2013b","2013","EIA","Annual Energy Outlook 2013","http://www.eia.gov/forecasts/archive/aeo13/pdf/0383(2013).pdf"
"g40745","Onshore","Land-Based Wind","","2039","DOE",0.061,"","","","1880.42102031989","1880.42102031989",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.050466869093274,"","","","","18","5",0.010407354001442,"Wind",0,"",0,"","AEO 2013b","2013","EIA","Annual Energy Outlook 2013","http://www.eia.gov/forecasts/archive/aeo13/pdf/0383(2013).pdf"
"g40744","Onshore","Land-Based Wind","","2038","DOE",0.061,"","","","1896.6950380517","1896.6950380517",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.050903632304075,"","","","","18","5",0.010407354001442,"Wind",0,"",0,"","AEO 2013b","2013","EIA","Annual Energy Outlook 2013","http://www.eia.gov/forecasts/archive/aeo13/pdf/0383(2013).pdf"
"g40743","Onshore","Land-Based Wind","","2037","DOE",0.062,"","","","1912.41949929548","1912.41949929548",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.051325646479931,"","","","","18","5",0.010407354001442,"Wind",0,"",0,"","AEO 2013b","2013","EIA","Annual Energy Outlook 2013","http://www.eia.gov/forecasts/archive/aeo13/pdf/0383(2013).pdf"
"g40742","Onshore","Land-Based Wind","","2036","DOE",0.062,"","","","1929.10848234706","1929.10848234706",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.051773546558617,"","","","","18","5",0.010407354001442,"Wind",0,"",0,"","AEO 2013b","2013","EIA","Annual Energy Outlook 2013","http://www.eia.gov/forecasts/archive/aeo13/pdf/0383(2013).pdf"
"g40741","Onshore","Land-Based Wind","","2035","DOE",0.063,"","","","1947.87828870972","1947.87828870972",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.052277291916903,"","","","","18","5",0.010407354001442,"Wind",0,"",0,"","AEO 2013b","2013","EIA","Annual Energy Outlook 2013","http://www.eia.gov/forecasts/archive/aeo13/pdf/0383(2013).pdf"
"g40740","Onshore","Land-Based Wind","","2034","DOE",0.063,"","","","1966.5688134996","1966.5688134996",0.07,"",30,0.080586403511111,0.392,0.83155,"","",0.38,0.052778909510869,"","","","","18","5",0.010407354001442,"Wind",0,"",0,"","AEO 2013b","2013","EIA","Annual Energy Outlook 2013","http://www.eia.gov/forecasts/archive/aeo13/pdf/0383(2013).pdf"
