year  id   fuel   name                                   capacity_MW         owner
2016  1    TD     Nho Que 2                                   48             IPP
2016  2    TD     Nho Que 1                                   32             IPP
2016  3    TD     Nam Na 3                                    84             IPP
2016  4    TD     Nam Toong                                   34             IPP
2016  5    TD     Bac Me                                      45             IPP
2016  6    TD     Ba Thuoc 1                                  60             IPP
2016  7    TD     Song Tranh 3                                62             IPP
2016  8    TD     Hu(li Quang #2                             260             EVN
2016  9    TD     Lai Chau #2                                400             EVN
2016  9    TD     Lai Chau #3                                400             EVN
2016  10   TD     Trung San #1                                65             EVN
2016  10   TD     Trung San #2                                65             EVN
2016  11   TD     Nh\U1Hl;lC                                  59             IPP
2016  12   TD     Song Bung 2                                100             EVN
2016  13   TD     Sekaman 1 (Lao)                            290           Cty Dien Viêt Lào
2016  14   TD     Song Tranh 4                                48             IPP
2016  15   TD     D1ikMi 2                                    98             IPP
2016  16   ND     Formosa Hà Tinh #2                         150              IPP - nhien lieu than
2016  17   ND     Formosa Hà Tinh #3                         100              IPP - nhien lieu khi lo cao
2016  17   ND     Formosa Hà Tinh #4                         100              IPP - nhien lieu khi lo cao
2016  18   ND     Formosa Hà Tinh #5                         150              IPP - nhien lieu than
2016  19   TD     D1ikMi 3                                    45              IPP
2016  20   ND     Formosa Dong Nai #3                        150              IPP
2016  21   ND     than Ve Dan                                 60              IPP (dong phat)
2016  22   ND     Duyen Hai III #1                           600              EVN
2016  23   NMDSK  sinh khoi KCP #1                            30              IPP (Phu Yen)
2016  24   NLTT   Năng lượng tái tạo                         260              <empty>
2017  1    TD     ChiKM                                       41              IPP
2017  2    TD     LOng T;;to                                  42              IPP
2017  3    TD     Trung San #3                                65              EVN
2017  3    TD     Trung San #4                                65              EVN
2017  4    TD     YenSon                                      70              Cty Co phan Tap doan XD & DL Binh Minh
2017  5    TD     TrflKMc 1                                   36              IPP
2017  6    TD     Sekaman Xanxay (Lao)                        32              Cty CP Diên Viet Lào
2017  7    TD     Thac Ma rna r(lng                           75              EVN
2017  8    ND     Thai Binh I #1                             300              EVN
2017  8    ND     Thai Binh I #2                             300              EVN
2017  9    ND     Thai Binh II #1                            600              PVN
2017  10   ND     Duyen Hlli III #2                          600              EVN
2017  11   NDHD   Long Son #1                                 75              IPP (dong phat)
2017  12   NMDSK  Dien sinh khoi An Khe #1                    55              Cty CP Buang Quang Ngai
2017  13   NLTT   Năng lượng tái tạo                         360              <empty>
2018  1    TD     Song Lo 6                                   44              Cty TNHH Xuan Thien Hà Giang
2018  2    TD     Hoi Xuan                                   102              IPP
2018  3    TD     Song Mi~n 4                                 38              IPP
2018  4    TD     La Ngau                                     36              Cty CP thuy dien La Ngau
2018  5    TD     Dak Mi 1                                    54              IPP
2018  6    TD     Da Nhim rna r(lng                          100              EVN
